Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,2,0,{}
LOAD,NAME,LOAD4B,ON,2.016666667,0,{}
GEN,NAME,GEN1,UPDATE,2.033333333,0,{'P': 8}
LOAD,NAME,LOAD4A,ON,4,0,{}
GEN,NAME,GEN1,UPDATE,4.016666667,0,{'P': 13}
BRN,NAME,BRN4_5,ON,6,0,{}
LOAD,NAME,LOAD5A,ON,6.016666667,0,{}
GEN,NAME,GEN1,UPDATE,6.033333333,0,{'P': 20}
BRN,NAME,BRN5_6,ON,10,0,{}
TRN,NAME,TWTF3_6,ON,14,0,{}
GEN,NAME,GEN3,ON,16,0,{}
GEN,NAME,GEN1,UPDATE,16.01666667,0,{'P': 23.84}
BRN,NAME,BRN4_9,ON,18,0,{}
LOAD,NAME,LOAD9B,ON,18.01666667,0,{}
GEN,NAME,GEN1,UPDATE,18.03333333,0,{'P': 29.84}
GEN,NAME,GEN1,UPDATE,20,0,{'P': 19.6}
GEN,NAME,GEN3,UPDATE,20.01666667,0,{'P': 6.4}
BRN,NAME,BRN8_9,ON,22,0,{}
LOAD,NAME,LOAD8C,ON,22.01666667,0,{}
GEN,NAME,GEN1,UPDATE,22.03333333,0,{'P': 15.8}
GEN,NAME,GEN3,UPDATE,22.05,0,{'P': 19.2}
LOAD,NAME,LOAD8A,ON,24,0,{}
GEN,NAME,GEN1,UPDATE,24.01666667,0,{'P': 6}
GEN,NAME,GEN3,UPDATE,24.03333333,0,{'P': 32}
TRN,NAME,TWTF2_8,ON,26,0,{}
LOAD,NAME,LOAD6C,ON,26.01666667,0,{}
GEN,NAME,GEN1,UPDATE,26.03333333,0,{'P': 3.2}
GEN,NAME,GEN3,UPDATE,26.05,0,{'P': 44.8}
GEN,NAME,GEN2,ON,28,0,{}
GEN,NAME,GEN3,UPDATE,28.01666667,0,{'P': 57.6}
BRN,NAME,BRN7_8,ON,30,0,{}
LOAD,NAME,LOAD4C,ON,30.01666667,0,{}
GEN,NAME,GEN1,UPDATE,30.03333333,0,{'P': 6}
GEN,NAME,GEN3,UPDATE,30.05,0,{'P': 61.6}
LOAD,NAME,LOAD6A,ON,32,0,{}
GEN,NAME,GEN2,UPDATE,32.01666667,0,{'P': 19.2}
GEN,NAME,GEN3,UPDATE,32.03333333,0,{'P': 48.8}
BRN,NAME,BRN6_7,ON,34,0,{}
LOAD,NAME,LOAD8B,ON,34.01666667,0,{}
GEN,NAME,GEN2,UPDATE,34.03333333,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,34.05,0,{'P': 42.6}
LOAD,NAME,LOAD7A,ON,36,0,{}
GEN,NAME,GEN2,UPDATE,36.01666667,0,{'P': 41.6}
GEN,NAME,GEN3,UPDATE,36.03333333,0,{'P': 55.4}
LOAD,NAME,LOAD9D,ON,38,0,{}
GEN,NAME,GEN2,UPDATE,38.01666667,0,{'P': 44.8}
GEN,NAME,GEN3,UPDATE,38.03333333,0,{'P': 68.2}
LOAD,NAME,LOAD9A,ON,40,0,{}
GEN,NAME,GEN2,UPDATE,40.01666667,0,{'P': 47}
GEN,NAME,GEN3,UPDATE,40.03333333,0,{'P': 81}
LOAD,NAME,LOAD5C,ON,42,0,{}
GEN,NAME,GEN2,UPDATE,42.01666667,0,{'P': 49.2}
GEN,NAME,GEN3,UPDATE,42.03333333,0,{'P': 93.8}
LOAD,NAME,LOAD7B,ON,44,0,{}
GEN,NAME,GEN2,UPDATE,44.01666667,0,{'P': 51.4}
GEN,NAME,GEN3,UPDATE,44.03333333,0,{'P': 106.6}
LOAD,NAME,LOAD5B,ON,46,0,{}
GEN,NAME,GEN2,UPDATE,46.01666667,0,{'P': 50.6}
GEN,NAME,GEN3,UPDATE,46.03333333,0,{'P': 119.4}
LOAD,NAME,LOAD5D,ON,48,0,{}
GEN,NAME,GEN2,UPDATE,48.01666667,0,{'P': 55}
GEN,NAME,GEN3,UPDATE,48.03333333,0,{'P': 128}
LOAD,NAME,LOAD8D,ON,50,0,{}
GEN,NAME,GEN2,UPDATE,50.01666667,0,{'P': 67}
LOAD,NAME,LOAD9C,ON,52,0,{}
GEN,NAME,GEN2,UPDATE,52.01666667,0,{'P': 89.8}
GEN,NAME,GEN3,UPDATE,52.03333333,0,{'P': 115.2}
LOAD,NAME,LOAD6B,ON,54,0,{}
GEN,NAME,GEN2,UPDATE,54.01666667,0,{'P': 112.6}
GEN,NAME,GEN3,UPDATE,54.03333333,0,{'P': 102.4}
