Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,2,0,{}
LOAD,NAME,LOAD4B,ON,2.016666667,0,{}
GEN,NAME,GEN1,UPDATE,2.033333333,0,{'P': 8}
LOAD,NAME,LOAD4A,ON,4,0,{}
GEN,NAME,GEN1,UPDATE,4.016666667,0,{'P': 13}
BRN,NAME,BRN4_5,ON,6,0,{}
LOAD,NAME,LOAD5A,ON,6.016666667,0,{}
GEN,NAME,GEN1,UPDATE,6.033333333,0,{'P': 20}
BRN,NAME,BRN5_6,ON,10,0,{}
TRN,NAME,TWTF3_6,ON,14,0,{}
GEN,NAME,GEN3,ON,16,0,{}
GEN,NAME,GEN1,UPDATE,16.01666667,0,{'P': 23.84}
BRN,NAME,BRN4_9,ON,18,0,{}
LOAD,NAME,LOAD9B,ON,18.01666667,0,{}
GEN,NAME,GEN1,UPDATE,18.03333333,0,{'P': 29.84}
BRN,NAME,BRN8_9,ON,22,0,{}
LOAD,NAME,LOAD8A,ON,22.01666667,0,{}
GEN,NAME,GEN1,UPDATE,22.03333333,0,{'P': 32.84}
BRN,NAME,BRN6_7,ON,26,0,{}
TRN,NAME,TWTF2_8,ON,30,0,{}
BRN,NAME,BRN7_8,ON,34,0,{}
GEN,NAME,GEN1,UPDATE,56,0,{'P': 22.6}
GEN,NAME,GEN3,UPDATE,56.01666667,0,{'P': 6.4}
GEN,NAME,GEN2,ON,58,0,{}
GEN,NAME,GEN1,UPDATE,58.01666667,0,{'P': 19.4}
GEN,NAME,GEN3,UPDATE,58.03333333,0,{'P': 19.2}
LOAD,NAME,LOAD8C,ON,60,0,{}
GEN,NAME,GEN1,UPDATE,60.01666667,0,{'P': 15.6}
GEN,NAME,GEN3,UPDATE,60.03333333,0,{'P': 32}
LOAD,NAME,LOAD9C,ON,62,0,{}
GEN,NAME,GEN1,UPDATE,62.01666667,0,{'P': 12.8}
GEN,NAME,GEN3,UPDATE,62.03333333,0,{'P': 44.8}
LOAD,NAME,LOAD6C,ON,64,0,{}
GEN,NAME,GEN1,UPDATE,64.01666667,0,{'P': 10}
GEN,NAME,GEN3,UPDATE,64.03333333,0,{'P': 57.6}
LOAD,NAME,LOAD6B,ON,66,0,{}
GEN,NAME,GEN1,UPDATE,66.01666667,0,{'P': 7.2}
GEN,NAME,GEN3,UPDATE,66.03333333,0,{'P': 70.4}
LOAD,NAME,LOAD6A,ON,68,0,{}
GEN,NAME,GEN1,UPDATE,68.01666667,0,{'P': 4.4}
GEN,NAME,GEN3,UPDATE,68.03333333,0,{'P': 83.2}
LOAD,NAME,LOAD4C,ON,70,0,{}
GEN,NAME,GEN1,UPDATE,70.01666667,0,{'P': 1.6}
GEN,NAME,GEN3,UPDATE,70.03333333,0,{'P': 96}
GEN,NAME,GEN3,UPDATE,72,0,{'P': 97.6}
GEN,NAME,GEN1,UPDATE,114,0,{'P': 3.2}
GEN,NAME,GEN3,UPDATE,114.0166667,0,{'P': 94.4}
GEN,NAME,GEN1,UPDATE,116,0,{'P': 16}
GEN,NAME,GEN3,UPDATE,116.0166667,0,{'P': 81.6}
GEN,NAME,GEN2,UPDATE,118,0,{'P': 19.2}
GEN,NAME,GEN3,UPDATE,118.0166667,0,{'P': 68.8}
LOAD,NAME,LOAD8B,ON,120,0,{}
GEN,NAME,GEN2,UPDATE,120.0166667,0,{'P': 45}
GEN,NAME,GEN3,UPDATE,120.0333333,0,{'P': 56}
LOAD,NAME,LOAD7A,ON,122,0,{}
GEN,NAME,GEN2,UPDATE,122.0166667,0,{'P': 48.2}
GEN,NAME,GEN3,UPDATE,122.0333333,0,{'P': 68.8}
LOAD,NAME,LOAD9D,ON,124,0,{}
GEN,NAME,GEN2,UPDATE,124.0166667,0,{'P': 51.4}
GEN,NAME,GEN3,UPDATE,124.0333333,0,{'P': 81.6}
LOAD,NAME,LOAD7B,ON,126,0,{}
GEN,NAME,GEN2,UPDATE,126.0166667,0,{'P': 53.6}
GEN,NAME,GEN3,UPDATE,126.0333333,0,{'P': 94.4}
LOAD,NAME,LOAD9A,ON,128,0,{}
GEN,NAME,GEN2,UPDATE,128.0166667,0,{'P': 55.8}
GEN,NAME,GEN3,UPDATE,128.0333333,0,{'P': 107.2}
LOAD,NAME,LOAD5C,ON,130,0,{}
GEN,NAME,GEN2,UPDATE,130.0166667,0,{'P': 58}
GEN,NAME,GEN3,UPDATE,130.0333333,0,{'P': 120}
LOAD,NAME,LOAD5D,ON,132,0,{}
GEN,NAME,GEN2,UPDATE,132.0166667,0,{'P': 63}
GEN,NAME,GEN3,UPDATE,132.0333333,0,{'P': 128}
LOAD,NAME,LOAD8D,ON,134,0,{}
GEN,NAME,GEN2,UPDATE,134.0166667,0,{'P': 75}
LOAD,NAME,LOAD5B,ON,136,0,{}
GEN,NAME,GEN2,UPDATE,136.0166667,0,{'P': 87}
GEN,NAME,GEN2,UPDATE,138,0,{'P': 99.8}
GEN,NAME,GEN3,UPDATE,138.0166667,0,{'P': 115.2}
GEN,NAME,GEN2,UPDATE,140,0,{'P': 112.6}
GEN,NAME,GEN3,UPDATE,140.0166667,0,{'P': 102.4}
