Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,2,0,{}
LOAD,NAME,LOAD4B,ON,2.016666667,0,{}
GEN,NAME,GEN1,UPDATE,2.033333333,0,{'P': 8}
LOAD,NAME,LOAD4A,ON,4,0,{}
GEN,NAME,GEN1,UPDATE,4.016666667,0,{'P': 13}
BRN,NAME,BRN4_5,ON,6,0,{}
BESS,NAME,BESS5,ON,6.016666667,0,{}
LOAD,NAME,LOAD5C,ON,8,0,{}
GEN,NAME,GEN1,UPDATE,8.016666667,0,{'P': 37.3027}
BESS,NAME,BESS5,UPDATE,8.033333333,0,{'P': -9.3027}
BRN,NAME,BRN5_6,ON,10,0,{}
LOAD,NAME,LOAD5D,ON,10.01666667,0,{}
GEN,NAME,GEN1,UPDATE,10.03333333,0,{'P': 43.0339}
BESS,NAME,BESS5,UPDATE,10.05,0,{'P': -2.0339}
LOAD,NAME,LOAD5B,ON,12,0,{}
GEN,NAME,GEN1,UPDATE,12.01666667,0,{'P': 49.9278}
BESS,NAME,BESS5,UPDATE,12.03333333,0,{'P': 3.0722}
TRN,NAME,TWTF3_6,ON,14,0,{}
LOAD,NAME,LOAD6A,ON,14.01666667,0,{}
GEN,NAME,GEN1,UPDATE,14.03333333,0,{'P': 55.9733}
BESS,NAME,BESS5,UPDATE,14.05,0,{'P': 7.0267}
GEN,NAME,GEN3,ON,16,0,{}
GEN,NAME,GEN1,UPDATE,16.01666667,0,{'P': 58.0254}
BESS,NAME,BESS5,UPDATE,16.03333333,0,{'P': 8.8146}
BRN,NAME,BRN6_7,ON,18,0,{}
GEN,NAME,GEN1,UPDATE,18.01666667,0,{'P': 62.8884}
BESS,NAME,BESS5,UPDATE,18.03333333,0,{'P': 3.9516}
LOAD,NAME,LOAD7A,ON,20,0,{}
GEN,NAME,GEN1,UPDATE,20.01666667,0,{'P': 88.0775}
BESS,NAME,BESS5,UPDATE,20.03333333,0,{'P': -5.2375}
BRN,NAME,BRN7_8,ON,22,0,{}
GEN,NAME,GEN1,UPDATE,22.01666667,0,{'P': 79.2238}
BESS,NAME,BESS5,UPDATE,22.03333333,0,{'P': 3.6162}
LOAD,NAME,LOAD7B,ON,24,0,{}
GEN,NAME,GEN1,UPDATE,24.01666667,0,{'P': 103.1585}
BESS,NAME,BESS5,UPDATE,24.03333333,0,{'P': -5.3185}
TRN,NAME,TWTF2_8,ON,26,0,{}
GEN,NAME,GEN1,UPDATE,26.01666667,0,{'P': 95.8896}
BESS,NAME,BESS5,UPDATE,26.03333333,0,{'P': 1.9504}
GEN,NAME,GEN2,ON,28,0,{}
GEN,NAME,GEN1,UPDATE,28.01666667,0,{'P': 114.6181}
BESS,NAME,BESS5,UPDATE,28.03333333,0,{'P': -7.1781}
BRN,NAME,BRN4_9,ON,30,0,{}
LOAD,NAME,LOAD8B,ON,30.01666667,0,{}
GEN,NAME,GEN1,UPDATE,30.03333333,0,{'P': 125.7865}
BESS,NAME,BESS5,UPDATE,30.05,0,{'P': -5.3465}
GEN,NAME,GEN1,UPDATE,32,0,{'P': 120.7272}
BESS,NAME,BESS5,UPDATE,32.01666667,0,{'P': -0.28723}
BRN,NAME,BRN8_9,ON,34,0,{}
LOAD,NAME,LOAD9D,ON,34.01666667,0,{}
GEN,NAME,GEN1,UPDATE,34.03333333,0,{'P': 145.5317}
BESS,NAME,BESS5,UPDATE,34.05,0,{'P': -9.0917}
LOAD,NAME,LOAD8D,ON,36,0,{}
GEN,NAME,GEN1,UPDATE,36.01666667,0,{'P': 148.7787}
BESS,NAME,BESS5,UPDATE,36.03333333,0,{'P': -0.33869}
LOAD,NAME,LOAD6B,ON,38,0,{}
GEN,NAME,GEN1,UPDATE,38.01666667,0,{'P': 154.8242}
BESS,NAME,BESS5,UPDATE,38.03333333,0,{'P': 3.6158}
GEN,NAME,GEN1,UPDATE,40,0,{'P': 152.6272}
BESS,NAME,BESS5,UPDATE,40.01666667,0,{'P': 5.8128}
LOAD,NAME,LOAD6C,ON,42,0,{}
GEN,NAME,GEN1,UPDATE,42.01666667,0,{'P': 171.8154}
BESS,NAME,BESS5,UPDATE,42.03333333,0,{'P': -3.3754}
LOAD,NAME,LOAD9A,ON,44,0,{}
GEN,NAME,GEN1,UPDATE,44.01666667,0,{'P': 184.322}
BESS,NAME,BESS5,UPDATE,44.03333333,0,{'P': -0.88204}
LOAD,NAME,LOAD4C,ON,46,0,{}
GEN,NAME,GEN1,UPDATE,46.01666667,0,{'P': 186.5798}
BESS,NAME,BESS5,UPDATE,46.03333333,0,{'P': 6.8602}
LOAD,NAME,LOAD9B,ON,48,0,{}
GEN,NAME,GEN1,UPDATE,48.01666667,0,{'P': 190.2519}
BESS,NAME,BESS5,UPDATE,48.03333333,0,{'P': 9.1881}
LOAD,NAME,LOAD5A,ON,50,0,{}
GEN,NAME,GEN1,UPDATE,50.01666667,0,{'P': 199.9261}
BESS,NAME,BESS5,UPDATE,50.03333333,0,{'P': 6.5139}
LOAD,NAME,LOAD8A,ON,52,0,{}
GEN,NAME,GEN1,UPDATE,52.01666667,0,{'P': 204.4954}
BESS,NAME,BESS5,UPDATE,52.03333333,0,{'P': 4.9446}
LOAD,NAME,LOAD9C,ON,54,0,{}
GEN,NAME,GEN1,UPDATE,54.01666667,0,{'P': 220.4838}
BESS,NAME,BESS5,UPDATE,54.03333333,0,{'P': -1.0438}
LOAD,NAME,LOAD8C,ON,56,0,{}
GEN,NAME,GEN1,UPDATE,56.01666667,0,{'P': 217.4989}
GEN,NAME,GEN3,UPDATE,56.03333333,0,{'P': 6.4}
BESS,NAME,BESS5,UPDATE,56.05,0,{'P': 0.70111}
GEN,NAME,GEN1,UPDATE,58,0,{'P': 204.0587}
GEN,NAME,GEN3,UPDATE,58.01666667,0,{'P': 19.2}
BESS,NAME,BESS5,UPDATE,58.03333333,0,{'P': 1.3413}
GEN,NAME,GEN1,UPDATE,60,0,{'P': 192.6}
GEN,NAME,GEN3,UPDATE,60.01666667,0,{'P': 32}
BESS,NAME,BESS5,UPDATE,60.03333333,0,{'P': 0}
GEN,NAME,GEN1,UPDATE,62,0,{'P': 179.8}
GEN,NAME,GEN3,UPDATE,62.01666667,0,{'P': 44.8}
GEN,NAME,GEN1,UPDATE,64,0,{'P': 173.4}
GEN,NAME,GEN3,UPDATE,64.01666667,0,{'P': 51.2}
GEN,NAME,GEN1,UPDATE,66,0,{'P': 186.2}
GEN,NAME,GEN3,UPDATE,66.01666667,0,{'P': 38.4}
GEN,NAME,GEN1,UPDATE,68,0,{'P': 173.4}
GEN,NAME,GEN3,UPDATE,68.01666667,0,{'P': 51.2}
GEN,NAME,GEN1,UPDATE,70,0,{'P': 186.2}
GEN,NAME,GEN3,UPDATE,70.01666667,0,{'P': 38.4}
GEN,NAME,GEN1,UPDATE,72,0,{'P': 173.4}
GEN,NAME,GEN3,UPDATE,72.01666667,0,{'P': 51.2}
GEN,NAME,GEN1,UPDATE,74,0,{'P': 186.2}
GEN,NAME,GEN3,UPDATE,74.01666667,0,{'P': 38.4}
GEN,NAME,GEN1,UPDATE,76,0,{'P': 173.4}
GEN,NAME,GEN3,UPDATE,76.01666667,0,{'P': 51.2}
GEN,NAME,GEN1,UPDATE,78,0,{'P': 186.2}
GEN,NAME,GEN3,UPDATE,78.01666667,0,{'P': 38.4}
GEN,NAME,GEN1,UPDATE,80,0,{'P': 173.4}
GEN,NAME,GEN3,UPDATE,80.01666667,0,{'P': 51.2}
GEN,NAME,GEN1,UPDATE,82,0,{'P': 186.2}
GEN,NAME,GEN3,UPDATE,82.01666667,0,{'P': 38.4}
GEN,NAME,GEN1,UPDATE,84,0,{'P': 173.4}
GEN,NAME,GEN3,UPDATE,84.01666667,0,{'P': 51.2}
GEN,NAME,GEN1,UPDATE,86,0,{'P': 160.6}
GEN,NAME,GEN3,UPDATE,86.01666667,0,{'P': 64}
GEN,NAME,GEN1,UPDATE,88,0,{'P': 119}
GEN,NAME,GEN2,UPDATE,88.01666667,0,{'P': 19.2}
GEN,NAME,GEN3,UPDATE,88.03333333,0,{'P': 76.8}
GEN,NAME,GEN1,UPDATE,90,0,{'P': 69.5}
GEN,NAME,GEN2,UPDATE,90.01666667,0,{'P': 55.9}
GEN,NAME,GEN3,UPDATE,90.03333333,0,{'P': 89.6}
GEN,NAME,GEN1,UPDATE,92,0,{'P': 72.5}
GEN,NAME,GEN2,UPDATE,92.01666667,0,{'P': 40.1}
GEN,NAME,GEN3,UPDATE,92.03333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,94,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,94.01666667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,94.03333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,96,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,96.01666667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,96.03333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,98,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,98.01666667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,98.03333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,100,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,100.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,100.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,102,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,102.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,102.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,104,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,104.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,104.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,106,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,106.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,106.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,108,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,108.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,108.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,110,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,110.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,110.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,112,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,112.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,112.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,114,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,114.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,114.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,116,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,116.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,116.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,118,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,118.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,118.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,120,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,120.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,120.0333333,0,{'P': 102.4}
