time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41
Time(s), VOLT 1 [BUS1 345.00], ANGL 1 [BUS1 345.00], VOLT 2 [BUS2 345.00], ANGL 2 [BUS2 345.00], VOLT 3 [BUS3 345.00], ANGL 3 [BUS3 345.00], VOLT 4 [BUS4 345.00], ANGL 4 [BUS4 345.00], VOLT 5 [BUS5 345.00], ANGL 5 [BUS5 345.00], VOLT 6 [BUS6 345.00], ANGL 6 [BUS6 345.00], VOLT 7 [BUS7 345.00], ANGL 7 [BUS7 345.00], VOLT 8 [BUS8 345.00], ANGL 8 [BUS8 345.00], VOLT 9 [BUS9 345.00], ANGL 9 [BUS9 345.00], FREQ 1 [BUS1 345.00], FREQ 2 [BUS2 345.00], FREQ 3 [BUS3 345.00], FREQ 5 [BUS5 345.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1, GREFGEN2, VREFGEN2, PELECGEN2, QELECGEN2, PMECHGEN2, GREFGEN3, VREFGEN3, PELECGEN3, QELECGEN3, PMECHGEN3, WPCMNDBESS5, WQCMNDBESS5, PELECBESS5, QELECBESS5
-0.002, 1, -5.65598e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, 0, 0, 0, 0, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -8.52651e-14, -1.51118e-05
0.048, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -4.19161e-16, 7.46158e-15, -1.49232e-14, -2.79809e-15, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -1.42109e-13, -1.51118e-05
0.098, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -2.3738e-22, 4.22566e-21, -8.45131e-21, -1.58462e-21, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -1.56319e-13, -1.51118e-05
0.148, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -4.42243e-17, 2.39308e-27, -4.78616e-27, -8.97405e-28, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -1.7053e-13, -1.51118e-05
0.198, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -2.50452e-23, 1.35525e-33, -2.71051e-33, -5.0822e-34, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -1.84741e-13, -1.51118e-05
0.248, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -3.31682e-17, 7.67903e-40, -1.53512e-39, -2.87958e-40, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -1.98952e-13, -1.51118e-05
0.298, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -1.87839e-23, 6.92241e-43, -6.97847e-43, -6.92241e-43, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -2.13163e-13, -1.51118e-05
0.347999, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -1.06377e-29, 6.92241e-43, -6.97847e-43, -6.92241e-43, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -2.27374e-13, -1.51118e-05
0.397998, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, 4.67482e-20, 6.92241e-43, -6.97847e-43, -6.92241e-43, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -2.41585e-13, -1.51118e-05
0.447998, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -1.05418e-21, 6.92241e-43, -6.97847e-43, -6.92241e-43, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -2.55795e-13, -1.51118e-05
0.497997, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -5.97007e-28, 6.92241e-43, -6.97847e-43, -6.92241e-43, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -2.70006e-13, -1.51118e-05
0.547997, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -1.04946e-17, 6.92241e-43, -6.97847e-43, -6.92241e-43, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -2.84217e-13, -1.51118e-05
0.597996, 1, -5.66325e-07, 1, 8.92524, 1, 10.2753, 1.01053, -0.0823021, 1.01506, 0.538201, 1.01889, 6.47639, 1.02112, 5.10167, 1.01673, 5.408, 1.01421, 0.275227, -5.94333e-24, 6.92241e-43, -6.97847e-43, -6.92241e-43, 0.010182, 1.0986, 0.0252006, -0.182734, 0.010182, 0.519792, 1.05956, 0.998, -0.236964, 0.519792, 0.9, 1.08182, 1.152, -0.284215, 0.9, -2.84217e-14, -3.02235e-05, -2.98428e-13, -1.51118e-05
